ess_cluster;cluster_short;ess_common;ess_short;ess_order;unique_short;ess_unique
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;groene verkeersbegeleiding;Groen als verkeersbegeleiderGroen langsheen de straat geeft het een duidelijke scheiding tussen de verschillende vormen van mobiliteit, vb. auto, fiets, voetganger en doet verkeer trager rijden.
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;biodiversiteit;BiodiversiteitAanwezigheid van inheemse plantensoorten,  insecten (zoals bijen en vlinders) en/of vogels in de stad.
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;ecologische verbindingen;Ecologische verbindingen:Groen als verbinding / stapsteen tussen stadsgroen en groen buiten de Mechelse binnenstad
Habitat & Biodiversity;Biodiversity;Pollination;pollination;12;bestuiving;Bestuiving door bijen
Water cycle related services;Water cycle;Protection against flooding risk;flooding;32;overstromingspreventie;Natuurlijke buffer tegen overstromingenBuffergebieden in de stad die extra regen/rivierwater kunnen opvangen.
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water infiltratie;WaterinfiltratieDe mogelijkheid om water te laten infiltreren en zo de grondwaterlaag terug aan te vullen.
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;verhogen  waterkwaliteit;Verhogen van de waterkwaliteitVerhogen van de waterkwaliteit door gebruik te maken van het zuiverend vermogen van waterplanten.
Quality of living;QoL;Quality of living/working environment;quality of living;24;zicht op groen;Zicht op groen ‘*’Zicht op groen vanuit leef – en/of werkplek.
Quality of living;QoL;Quality of living/working environment;quality of living;24;zicht op water;Zicht op water ‘*’Zicht op waterpartijen vanuit leef – en/of werkplek.
Quality of living;QoL;Regulation of air quality;air quality;20;verbeteren lucht;Verbeteren van de luchtkwaliteit ‘*’Verbeteren van de luchtkwaliteit door gebruik te maken van het luchtzuiverend vermogen van planten
Quality of living;QoL;Micro-Climate regulation;micro climate;22;temperen temperatuur;Temperen van de temperatuur ‘*’Afvlakken van pieken in temperatuur door het aanwezige groen en water
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;visuele afscherming;Visuele afscherming door groen ‘*’
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;stilte en rust;Stilte en rust Groene plaatsen als rustplaats en buffer tegen geluidsoverlast
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;Educatie in het groenMogelijkheden tot educatie in /over de  natuur: vb. een leerpad, leren composteren, 1e kennismaking met de natuur
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;cultureel erfgoed;Kunst en cultureel erfgoedGroen als versterkende factor bij kunst en/of cultureel erfgoed
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;esthetiekbijdrage;EsthetiekBijdrage van natuur en water aan landschap- en/of stadsesthetiek
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;streekidentiteit;Streekidentiteit Gebruik van plaatselijke plantensoorten of beheermaatregelen die bijdragen aan de identiteit van de streek. Vb. knotten van wilgen, hagen van mei-of sleedoorn
Bio-production;Bio-production;Renewable energy;green energy;6;hout prd;Biomassa productie door groenbeheer Reststroom van groenbeheer die gebruikt kan worden als compost, brandhout en/of houtproductie
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;verbindingsfunctie;verbindingsfunctie
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;ontmoetingsplekjes;ontmoetingsplekjes
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;cultuurhistorisch erfgoed;cultuurhistorisch erfgoed en kunst
Recreation & Tourism;Rec & Tourism;Tourism;tourism;29;economie toerisme;toerisme en horeca
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;natuurwaarde;natuurwaarde
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;educatie
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;natuurstudie en -beheer;natuurstudie en -beheer
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie fiets;fietsen
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie wandelen;wandelen
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;lopen;lopen
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie mtb;mountainbiken
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;waterrecreatie;waterrecreatie
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;landschapsbeeld;landschapsbeeld vallei en beek
Quality of living;QoL;Quality of living/working environment;quality of living;24;groene woonomgeving;groene woonomgeving
Bio-production;Bio-production;Home gardening & hobby animals;gardening;5;samen tuinieren;samen tuinieren
Bio-production;Bio-production;Bio-production;bio-production;4;hout prd;houtproductie
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;voedsel prd;voedselproductie
Bio-production;Bio-production;Renewable energy;green energy;6;biomassa prd;energieproductie biomassa
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;waterkwaliteit;zuiver water en natuurlijke zuivering
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;waterhoeveelheid;waterhoeveelheid
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;rustige en stille omgeving;rustige en stille omgeving
Quality of living;QoL;Regulation of air quality;air quality;20;zuivere lucht;zuivere lucht en natuurlijke zuivering
Quality of living;QoL;Micro-Climate regulation;micro climate;22;lokaal klimaateffect;lokaal klimaateffect
Climate service;Climate;Macro-Climate regulation;macro climate;13;globaal klimaateffect;globaal klimaateffect
Habitat & Biodiversity;Biodiversity;Pollination;pollination;12;bestuiving;bestuiving
Bio-production;Bio-production;Water extraction for agriculture;agri water;2;beekwater landbouw;Beekwater voor landbouwgebruik
Water cycle related services;Water cycle;Regulation of erosion risk;erosion;31;brede natuurlijke oevers;Brede natuurlijke oevers tegen oevererosie
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;gezonde natuur;Gezonde natuur
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;erfgoedwaarde;Historische en erfgoedwaarde van het landschap
Bio-production;Bio-production;Bio-production;bio-production;4;hout prd;Houtproductie
Climate service;Climate;Macro-Climate regulation;macro climate;13;co2 opslag;Koolstofopslag voor het klimaat
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;landschappelijke esthetiek;Landschappelijke schoonheid
Bio-production;Bio-production;Agricultural production;agri produce;1;voedsel prd;Leefbare landbouwpraktijk en voedselproductie
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water vasthouden;Natuurlijk vasthouden van water
Quality of living;QoL;Quality of living/working environment;quality of living;24;ruimte voor wonen;Ruimte voor wonen
Recreation & Tourism;Rec & Tourism;Space for play & rest;play;27;rust, ontspanning en spel;Rust, ontspanning en spel
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;sociaal contact;Sociaal contact en samenhorigheid
Recreation & Tourism;Rec & Tourism;Tourism;tourism;29;economie toerisme;Toerisme
Bio-production;Bio-production;Home gardening & hobby animals;gardening;5;paardenhobby;Tuinieren en paarden houden
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;veilig fietsen en wandelen;Veilige fiets- en wandelverbindingen
Water cycle related services;Water cycle;Protection against flooding risk;flooding;32;overstromingspreventie;Veiligheidsgevoel (m.b.t. overstromingen)
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water afvoeren;Water afvoeren
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water bergen;Water bergen
Habitat & Biodiversity;Biodiversity;Iconic species;iconic species;10;zeldzaam habitat;Zeldzame habitats, dieren en planten
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;waterkwaliteit;Zuiver water
Recreation & Tourism;Rec & Tourism;Motorised recreation;motorised r&r;26;recreatie gemotoriseerd;Gemotoriseerde recreatie
Bio-production;Bio-production;Agricultural production;agri produce;1;bloemen;Bloemen
Bio-production;Bio-production;Agricultural production;agri produce;1;kleinfruit;Kleinfruit
Bio-production;Bio-production;Agricultural production;agri produce;1;laagstamboomgaarden;Laagstamboomgaarden
Bio-production;Bio-production;Agricultural production;agri produce;1;bioenergie prd;Akkers: Bio-energiegewassen
Wild food harvest;Wild food;Hunting;hunting;35;jagen als ontspanning;Jagen als ontspanning
Climate service;Climate;Macro-Climate regulation;macro climate;13;co2-opslag;Lokaal groen voor CO2-opslag
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;tegengaan verdroging;Natuurlijk tegengaan van verdroging
Habitat & Biodiversity;Biodiversity;Pest and disease control for agriculture;pest control;11;regulatie ziektes;Natuurlijke regulatie van plagen en ziektes
Quality of living;QoL;Micro-Climate regulation;micro climate;22;temperatuurbuffering;Natuurlijke temperatuurbuffering
Quality of living;QoL;Micro-Climate regulation;micro climate;22;windbuffering;Natuurlijke windbuffering
Bio-production;Bio-production;Agricultural production;agri produce;1;zwervende veeteelt;Niet-grondgebonden veeteelt
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie mtb;Sportieve recreatie (mountainbiken, paardrijden, kajak, golf)
Bio-production;Bio-production;Home gardening & hobby animals;gardening;5;tuinieren;Tuinieren
Wild food harvest;Wild food;Fishery;fishery;34;recreatie vissen;Vissen als ontspanning
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;vrijwilligerswer;Vrijwilligerswerk in de natuur
Quality of living;QoL;Drinking water;drinking;21;waterwinning;Waterwinning
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;wilde bessen en planten;Wilde bessen en planten plukken als ontspanning
Water cycle related services;Water cycle;Protection against flooding risk;flooding;32;overstromingspreventie;Natuurlijke bescherming tegen overstromingen
Bio-production;Bio-production;Agricultural production;agri produce;1;voedsel prd;Akkers: Voedsel- en voedergewassen
Recreation & Tourism;Rec & Tourism;Space for play & rest;play;27;plaats voor spelen;Dagelijkse activiteiten (verplaatsingen, spelen,…)
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;zachte rectreatie;Dagelijkse activiteiten (verplaatsingen, spelen,…)
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;behoud typisch landschap;Behoud van het typisch landschap
Habitat & Biodiversity;Biodiversity;Iconic species;iconic species;10;typische soorten;Behoud van typische soorten
Bio-production;Bio-production;Agricultural production;agri produce;1;grondgebonden veeteelt;Grondgebonden veeteelt (weides)
Bio-production;Bio-production;Agricultural production;agri produce;1;hoogstamboomgaarden;Hoogstamboomgaarden
Quality of living;QoL;Quality of living/working environment;quality of living;24;leven in groen;Leven in een groene omgeving
Water cycle related services;Water cycle;Regulation of erosion risk;erosion;31;erosiebescherming;Natuurlijke bescherming tegen erosie
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;stilte;Stilte
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie fiets;Zachte recreatie (wandelen, fietsen)
Quality of living;QoL;Regulation of air quality;air quality;20;zuivere lucht;Zuivere lucht
Bio-production;Bio-production;Agricultural production;agri produce;1;plantaardige voeding;plantaardige voeding
Bio-production;Bio-production;Agricultural production;agri produce;1;dierlijke voeding;dierlijke voeding
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;wilde planten;wilde planten
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;geneeskrachtige planten;geneeskrachtige planten
Bio-production;Bio-production;Bio-production;bio-production;4;hout;hout
Bio-production;Bio-production;Renewable energy;green energy;6;bioenergie prd;bio-energie
Water cycle related services;Water cycle;Protection against flooding risk;flooding;32;overstromingspreventie;bescherming tegen overstroming
Water cycle related services;Water cycle;Regulation of erosion risk;erosion;31;bescherming tegen erosie;bescherming tegen erosie
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;waterkwaliteit;zuiver water
Quality of living;QoL;Regulation of air quality;air quality;20;zuivere lucht;zuivere lucht
Climate service;Climate;Macro-Climate regulation;macro climate;13;klimaatregulatie;klimaatregulatie
Bio-production;Bio-production;Regulation of soil fertility;soil fertility;8;vruchtbare bodem;vruchtbare bodem
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;habitat  dieren en planten;habitat voor dieren en planten
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;stilte;stilte
Habitat & Biodiversity;Biodiversity;Pest and disease control for agriculture;pest control;11;regulatie ziektes;regulatie plagen en ziektes
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie zacht;zachte recreatie
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie sport;sportieve recreatie
Habitat & Biodiversity;Biodiversity;Iconic species;iconic species;10;typische soorten;typische soorten
Bio-production;Bio-production;Regional products;regio produce;7;streekproducten prd;streekproducten
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;esthetiek;esthetische waarde
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;spirituele waarde;spirituele waarde
Cultural, social & aesthetic values;Cultural-social;Creative activities & inspiration;inspiration;17;inspirerende werking;inspirerende werking
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;educatieve functie
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;therapeutische werking;therapeutische werking
Cultural, social & aesthetic values;Cultural-social;Space for social cohesion;social cohesion;18;sociale interactie;sociale interactie bevorderen
Quality of living;QoL;Quality of living/working environment;quality of living;24;woonkwaliteit;woonkwaliteit
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;historisch landschap;historisch landschap
Wild food harvest;Wild food;Hunting;hunting;35;recreatie jacht;jacht en visvangst
Wild food harvest;Wild food;Fishery;fishery;34;recreatie visvangst;jacht en visvangst
Bio-production;Bio-production;Bio-production;bio-production;4;hout prd;Houtproductie (en afgeleide producten bvb. pellets)
Bio-production;Bio-production;Regional products;regio produce;7;streejoridycteb;(Streek)producten van bos & natuur (bvb. heidehoning, paddenstoelen, kruiden, bessen)
Wild food harvest;Wild food;Hunting;hunting;35;recreatie jacht;Jacht
Bio-production;Bio-production;Regional products;regio produce;7;biovlees van natuurgebied;Biovlees van natuurgebieden (bvb heideschapen)
Bio-production;Bio-production;Renewable energy;green energy;6;biomassa prd;Groene energie (op basis van biomassa van beheer natuurgebieden)
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;genenbronnen;Genenbronnen (diversiteit van de organismen)
Habitat & Biodiversity;Biodiversity;Iconic species;iconic species;10;habitat;Leefgebied unieke fauna en flora 
Quality of living;QoL;Regulation of air quality;air quality;20;luchtkwaliteit;Zuivering van lucht
Climate service;Climate;Macro-Climate regulation;macro climate;13;opname co2;0pname CO2
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;waterkwaliteit;Natuurlijke waterzuivering
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;water infiltratie;Waterberging + waterinfiltratie (-> overstromingsveiligheid)
Quality of living;QoL;Mediation of noise and visual pollution;pollution;23;geluidsbuffer;Visueel afschermen van bebouwing + geluidsbuffer
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie zacht;Ruimte voor zachte recreatie 
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;esthetiek;Esthetische waarde & helende functie 
Quality of living;QoL;Quality of living/working environment;quality of living;24;aangename leefomgeving;Aangename leefomgeving
Recreation & Tourism;Rec & Tourism;Space for play & rest;play;27;ruimte spel en ontwikkeling;Ruimte voor spel en ontwikkeling van kinderen
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;Natuureducatie (voor jongeren en volwassenen)
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;streekidentiteit;Bijdrage aan streekidentiteit
Recreation & Tourism;Rec & Tourism;Motorised recreation;motorised r&r;26;recreatie gemotoriseerd;Ruimte voor gemotoriseerde recreatie
Recreation & Tourism;Rec & Tourism;Dynamic recreation;dynamic r&r;25;recreatie sport;Ruimte voor sportieve recreatie
Bio-production;Bio-production;Agricultural production;agri produce;1;voedsel prd;Voedsel & voeder productie
Bio-production;Bio-production;Agricultural production;agri produce;1;biologische landbouw prd;Biologische landbouw productie
Bio-production;Bio-production;Regional products;regio produce;7;streekproducten prd;Streekproducten
Bio-production;Bio-production;Renewable energy;green energy;6;bioenergie prd;Bio-energie (op basis van biomassa, mest, wind,..)
Bio-production;Bio-production;Bio-based materials;bio materials;3;productie van meststof;Productie van meststof (al dan niet in verwerkte vorm)
Wild food harvest;Wild food;Wild food picking and medicinal plants;plant gathering;36;honing, was,;Honing, was, (geneeskrachtige) kruiden
Bio-production;Bio-production;Bio-based materials;bio materials;3;grondstoffen niet-voeding;Grondstoffen voor niet-voeding (vezels, …)
Habitat & Biodiversity;Biodiversity;Pollination;pollination;12;bestuiving;Bestuiving
Habitat & Biodiversity;Biodiversity;Pest and disease control for agriculture;pest control;11;regulatie ziektes;Regulatie van plagen en ziektes ter preventie van landbouwproductie
Bio-production;Bio-production;Regulation of soil fertility;soil fertility;8;bodemvruchtbaarheid;Vruchtbaar maken van de bodem
Water cycle related services;Water cycle;Protection against flooding risk;flooding;32;overstromingspreventie;Overstromingsregulatie
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;regulatie waterkwaliteit;Regulatie waterkwaliteit
Habitat & Biodiversity;Biodiversity;Iconic species;iconic species;10;biodiversiteit;Typische biodiversiteit van landouwgebieden in stand houden (bvb. via agrobeheersgroepen)
Cultural, social & aesthetic values;Cultural-social;Education, knowledge & nature observation;education;16;educatie;Educatie (voor jongeren en volwassenen)
Recreation & Tourism;Rec & Tourism;Tourism;tourism;29;economie toerisme;Hoevetoerisme
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;zorgboerderijen;Zorgboerderijen
Cultural, social & aesthetic values;Cultural-social;Nature & spiritual experience and therapeutic effect;spiritual;19;landelijk rustgevend land;Landelijk rustgevend landschap
Quality of living;QoL;Quality of living/working environment;quality of living;24;aangename omgeving;Aangename woonomgeving
Cultural, social & aesthetic values;Cultural-social;Cultural & regional identity;culture;15;cultuur-historisch landsc;Cultuur-historisch landschap & productiemethoden
Bio-production;Bio-production;Home gardening & hobby animals;gardening;5;paardenhobby;Ruimte voor hobbylandbouw en paarden
Bio-production;Bio-production;Agricultural production;agri produce;1;ruimte voor glastuinbouw;Ruimte voor glastuinbouw
Bio-production;Bio-production;Agricultural production;agri produce;1;ruimte voor sierteelt;Ruimte voor sierteelt
Bio-production;Bio-production;Agricultural production;agri produce;1;voedsel prd;Weide en hooiland (-> voedsel/voer)
Wild food harvest;Wild food;Fishery;fishery;34;recreatie hengel;Recreatief vissen (hengelsport)
Bio-production;Bio-production;Bio-production;bio-production;4;hout prd;Riet & houtproductie (dakbedekking, vezels voor energie, …)
Bio-production;Bio-production;Water extraction for agriculture;agri water;2;water voor irrigatie van;Water voor irrigatie van landbouwgrond
Water cycle related services;Water cycle;Protection against flooding risk;flooding;32;overstromingspreventie;Waterafvoer & overstromingsregulatie
Water cycle related services;Water cycle;Regulation of hydrological cycle and protection against drought;drought;30;bufferingwater;Buffering voor in droge periodes (bvb. water in  mijnverzakkingsgebieden als buffer voor drogere periodes)
Water cycle related services;Water cycle;Regulation of water quality;water quality;33;natuurlijke zuivering;Natuurlijke zuivering (bvb. door grote rietmoerassen)
Climate service;Climate;Macro-Climate regulation;macro climate;13;opname van co2;Opname van CO2
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;biodiversiteit;Biodiversiteit gebonden aan natte natuur
Climate service;Climate;Macro-Climate regulation;macro climate;13;behoud van co2 in bodems;Behoud van CO2 in bodems
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;verbindingsfunctie;Verbindingsfunctie
Recreation & Tourism;Rec & Tourism;Soft recreation;soft r&r;28;recreatie zacht;Ruimte voor zachte recreatie (belevingswaarde)
Cultural, social & aesthetic values;Cultural-social;Aesthetic value;aesthetics;14;esthetiek;Esthetische waarde & rustgevende werking
Wild food harvest;Wild food;Fishery;fishery;34;recreatie hengel;Visproductie (voedsel, siervis, hobbyvis, vis voor hengelsport)
Habitat & Biodiversity;Biodiversity;Biodiversity & habitat;biodiversity;9;visproductie als voeder;Visproductie als voeder (o.a. watervogels)
